,Compound,Comments,Company
100,0.6369,These Are The Best Robinhood Stocks To Buy Or Watch Now,GOOG
101,-0.0258,How Amazons Twitch Platform Makes Money,GOOG
102,0.6369,10 Best Tech Stocks to Buy According to Stanley Druckenmiller,GOOG
103,0.0,One Mans Quest to Get an AI Machine a Patent Gathers Momentum,GOOG
104,0.3818,"Growth Investors, Have You Read Lemonade's Founders' Letter Yet?",GOOG
105,0.0,2 Cheap Tech Stocks to Buy Right Now,GOOG
106,0.0,Why These 2 Tech Stock Giants Made Very Different Moves Friday,GOOG
107,0.0,"How Is Apple Pitting Siri Against Google Assistant, Alexa?",GOOG
108,0.0,"Russia Seeks Removal Of Alexei Navalny's App From Apple, Google App Stores",GOOG
109,-0.8074,Ignore Elon Musks dancing distraction and face the dangers ahead for Tesla,GOOG
110,-0.2023,Big Tech Is in a Perilous Moment. The Stocks Are Unstoppable.,GOOG
111,0.0,Apple delays return to office until January 2022: report,GOOG
112,0.0,"Google Thought of Buying Tencents Epic Stake in Swipe at Fortnite, Says Game Maker",GOOG
113,0.0,"Facebook, Twitter Face High-Stakes Choice on a Voice for Taliban",GOOG
114,0.0,Is Snowflake Stock A Buy? Software Maker Sets Path To $10 Billion In Revenue By 2028,GOOG
115,0.0,Zoom Usage Is Tumbling as More People Return to Offices,GOOG
116,-0.4019,Britain's Concern Over Nvidia-Arm Deal Poses Double Trouble For Nvidia - Read Why?,GOOG
117,0.0,Is Snowflake Stock A Buy? Software Maker Sets Path To $10 Billion In Revenue By 2028,GOOG
118,0.4588,Artificial Intelligence Stocks To Buy And Watch: Tesla Touts AI Capabilities Beyond Electric Vehicles,GOOG
119,0.0,Cerner Taps Google Health Chief David Feinberg as New CEO,GOOG
120,0.2263,Here's How Much a $1000 Investment in Alphabet Made 10 Years Ago Would Be Worth Today,GOOG
121,-0.0516,"Facebook Stock Is a Screaming Value, Says This Top-Performing Fund Manager",GOOG
122,0.0,4 Stocks Insiders Are Selling,GOOG
123,0.296,Google Health Chief Quits To Join As CEO At Health-Tech Company,GOOG
124,0.0,Big Tech Is in a Perilous Moment. The Stocks Are Still a Buy.,GOOG
125,-0.4019,Apple Unsuccessfully Attempted To Lure Away Former Google Search Chief Ben Gomes: Report,GOOG
126,-0.5423,"For bank regulators, tech giants are now too big to fail",GOOG
127,-0.5423,"For bank regulators, tech giants are now too big to fail",GOOG
128,-0.5423,"FOCUS-For bank regulators, tech giants are now too big to fail",GOOG
129,0.0,China Takes Next Step in Taming Big Tech With Personal Data Law,GOOG
130,0.0,Apple Tried to Hire Away Former Google Search Chief Ben Gomes,GOOG
131,-0.296,Epic Games says Google paid phone and game makers to avoid $1-billion app store hit,GOOG
132,-0.296,Epic Games says Google paid phone and game makers to avoid $1-bln app store hit,GOOG
133,-0.7003,OnlyFans to ban sexually explicit content after pressure from financial partners,GOOG
134,0.0,Facebook Hit by New U.S. Antitrust Case as FTC Seeks Do-Over,GOOG
135,0.5256,10 Most Valuable EdTech Companies in the World,GOOG
136,0.0,GoDaddy (GDDY) Launches New Features to Aid Small Businesses,GOOG
137,0.6369,10 Best Stocks to Buy According to Michael Burry,GOOG
138,-0.128,4 Stocks to Make the Most of the Rising Demand for BDaaS,GOOG
139,0.0,"Got $5,000? Buy These 3 Stocks to Double Your Money",GOOG
140,-0.743,UPDATE 1-Russia fines Google again for failing to remove banned content,GOOG
141,-0.743,Russia fines Google again for failing to remove banned content,GOOG
142,-0.743,"Russia fines Google a further $26,989 for failing to remove banned content",GOOG
143,0.296,"Rami Karabibar Shares His Journey Through the World of Modern Investment, Both as an Operator and as an Investor - Across Technology, Food Delivery, Machine Learning and Autonomous Vehicles",GOOG
144,-0.3182,Facebook Removed 20 Million Pieces of Covid-19 Misinformation,GOOG
145,0.4215,Aurora releases tool to gauge safety of self-driving systems,GOOG
146,0.4215,Aurora releases tool to gauge safety of self-driving systems,GOOG
147,0.4019,Salesforce.com Stock Climbs on JMP Price-Target Boost,GOOG
148,0.0,Ryder Storms Deeper Into Trucking Autonomy In Tie-Up With Waymo Via,GOOG
149,0.2023,Here's the Top Hidden Tech-Stock Gem to Buy Now,GOOG
150,0.0,Google Unveils New Pixel Phone: 4 Must-See Takeaways,GOOG
151,0.5267,2 Top Growth Stocks to Buy Now,GOOG
152,0.0,Baidu Plans Future In AI And Autonomous Driving,GOOG
153,-0.3182,Apple Sees Delay In Its Shift Away From China Due To COVID-19: Report,GOOG
154,0.0,"Google Pixel 6 and other phones will come without a charger in the box, company announces",GOOG
155,-0.0516,Why This Top-Performing Fund Calls Facebook a Screaming Value,GOOG
156,0.0,SoftBank Sold About $14 Billion in Listed Stocks Last Quarter,GOOG
157,0.0,SoftBank-Backed Karrot Becomes $2.7 Billion Korea Unicorn,GOOG
158,-0.296,Should Amazon (AMZN) Antitrust Concerns Worry Investors?,GOOG
159,0.0,Google Adds Larger Screen and Battery to Its Cheapest 5G Phone,GOOG
160,0.0,3 Stocks I'm Never Selling,GOOG
161,0.34,Alphabet (GOOGL) Boosts Google Meet Reach With Latest Update,GOOG
162,0.357,UPDATE 2-Russia fines Google for not deleting banned content,GOOG
163,0.0,Ford (F) Spin's E-Bikes Levels Game With Appearance on Google Maps,GOOG
164,0.0,Google Details Features of Entry-Level Pixel 5G Phone,GOOG
165,0.357,Russia fines Google for not deleting banned content,GOOG
166,0.0,Is Salesforce Stock A Buy? Digital Transformation Leader Closes Slack Acquisition,GOOG
167,0.4939,Is Google Stock A Buy? June Quarter Earnings Beat As GOOGL Stock Buyback Agreement Changed,GOOG
168,-0.6249,What are your rights if an employer threatens a WFH pay cut?,GOOG
169,0.6249,3 Great Stocks for Your IRA,GOOG
170,0.0,Facebook Takes Action Against Taliban Content,GOOG
171,-0.0516,"Facebook Backs Two Major Undersea Cable Projects, Google Joins Forces For One",GOOG
172,0.6249,"How Can Amazon, Microsoft, Netflix, Spotify Gain From New Big Tech Bill?",GOOG
173,0.5859,Sonos Stock Soars On Big Patent Win Over Google,GOOG
174,0.0,Earnings-Palooza: 4 FAANG Stocks and More,GOOG
175,0.0,Google's YouTube vs. Russia's News Channel Tsargrad TV,GOOG
176,0.1779,Facebook To Extend Africa's Undersea Cable Network: Bloomberg,GOOG
177,0.7351,Sonos stock rockets as patent win over Google could mean eventual financial gains,GOOG
178,-0.5994,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell",GOOG
179,0.765,Sonos Stock Is Surging. A Patent-Suit Win Against Google Lifts Hopes.,GOOG
180,0.2263,Will Snap Be Worth More Than Facebook by 2030?,GOOG
181,0.0,"Walmart, Home Depot, Retail Sales: 3 Things to Watch",GOOG
182,0.0,Why Sonos Stock Spiked on Monday,GOOG
183,-0.5994,S&P 500 Cuts Losses to Clinch Record Highs,GOOG
184,0.296,Why Sonos Shares Are Trading Higher Today,GOOG
185,0.0,"Dow Jones Futures Fall On China Data, Tesla Autopilot Probe, Nvidia, DocuSign Near Buys In Choppy Market Rally",GOOG
186,0.5859,Sonos scores big patent win over Google  stock surge may be just getting started,GOOG
187,-0.4404,Russian TV channel ends talks with Google over YouTube block,GOOG
188,-0.4404,Russian TV channel ends talks with Google over YouTube block,GOOG
189,0.0,Sonos Stock Jumps After ITC Judge Rules Google Infringed 5 Patents,GOOG
190,0.6486,Sonos Soars After Legal Win Against Google Over Patent,GOOG
191,0.3182,Facebook to Expand Planned Undersea Cable Network in Africa,GOOG
192,0.0,Google and Facebooks New Cable to Link Japan and Southeast Asia,GOOG
193,0.0,The Metaverse Goes Beyond Facebook. Watch These Stocks.,GOOG
194,0.0,3 Stocks You Can Buy and Hold Forever,GOOG
195,0.296,Why Sonos Shares Surged Friday After Hours,GOOG
196,-0.2732,Why Regulatory Risk Is A Silver Lining For Apple And Google,GOOG
197,0.2023,Top 10 S&P 500 Stocks by Index Weight for July 2021,GOOG
198,0.0,Proposed Senate Bill Would Affect App Stores,GOOG
199,-0.7269,Apple Races to Temper Outcry Over Child-Porn Tracking System,GOOG
200,0.0,"Dow Jones Futures: Market Rally Rebounds But Does It Pass Your Test? Apple, Facebook, Nvidia Near Buy Points",FB
201,0.6369,These Are The 5 Best Stocks To Buy And Watch Now,FB
202,0.6369,10 Best Tech Stocks to Buy According to Stanley Druckenmiller,FB
203,0.0,3 Companies Fueling the Rise of Social Commerce,FB
204,-0.2023,Big Tech Is in a Perilous Moment. The Stocks Are Unstoppable.,FB
205,0.3818,"CommentSold CEO on Permira partnership, growth outlook",FB
206,0.0,"Facebook, Twitter Face High-Stakes Choice on a Voice for Taliban",FB
207,0.7184,"Leases to Facebook, Netflix Boost Confidence in Property Bonds",FB
208,0.4019,Facebook Finds Key Support,FB
209,0.6124,"Facebook, Twitter, Microsoft Beef Up Security To Protect Afghanistan's User Accounts",FB
210,0.101,Teslas Humanoid Robot Is a Sideshow. Heres What Really Matters.,FB
211,0.0,He Built an $8.9 Billion Fortune. Then the Controversies Began.,FB
212,0.4019,Facebook teams up with Indian firm to help provide loans to small businesses,FB
213,0.4019,Facebook teams up with Indian firm to help provide loans to small businesses,FB
214,0.3818,Facebook moves to protect users in Afghanistan from being targeted by the Taliban,FB
215,0.0,Facebook Drops as FTC Comes Knocking With New Antitrust Suit,FB
216,0.0,Apple Delays Office Return to at Least January on Covid Rise,FB
217,0.0,China Takes Next Step in Taming Big Tech With Personal Data Law,FB
218,0.1779,"Amazon Pushes Into Department Stores, While Facebook Toys With Cartoon Avatars",FB
219,0.0,Facebooks Next Metaverse Idea Is in the Workplace. VR Could Be Coming to Your Desk.,FB
220,0.34,"UPDATE 1-Facebook, Twitter and LinkedIn secure Afghan users' accounts amid Taliban takeover",FB
221,0.34,"Facebook, Twitter and LinkedIn secure Afghan users' accounts amid Taliban takeover",FB
222,0.3182,Facebook says it is securing Afghan user accounts amid Taliban takeover,FB
223,0.6956,"White House Wants to Make Big Tech Better, Not Destroy It, Tim Wu Says",FB
224,-0.4767,Facebook pushes ahead with crypto wallet plan in bid to 'fix broken payment system',FB
225,0.0,Snap Hires Facebooks Konstantinos KP Papamiltiadis as First VP of Platform Partnerships,FB
226,-0.2263,FTC Takes Another Swing at Breaking Up Facebook With Revised Lawsuit,FB
227,0.0,Snap Hires Facebook Executive to Lead Augmented-Reality Push,FB
228,-0.2263,FTC Refiles Anticompetitive Lawsuit Against Facebook - Read Why?,FB
229,0.0,Facebook To Trial TikTok Clone Reels In US,FB
230,0.0,Facebook Hit by New U.S. Antitrust Case as FTC Seeks Do-Over,FB
231,0.0,"Nvidia jumps and Robinhood sinks after earnings, FTC refiles Facebook antitrust case",FB
232,0.4215,How Facebook Is Improving The Remote Working Experience?,FB
233,-0.4767,Ethereum creator says Jack Dorsey and Mark Zuckerberg are doing crypto wrong,FB
234,0.0,FTC requests Facebook sell WhatsApp and Instagram in major antitrust case,FB
235,-0.296,Facebook hit with new version of FTC antitrust complaint,FB
236,-0.2263,"FTC Refiles Antitrust Lawsuit Against Facebook, Alleging Social Giant Has Had a Monopoly Since 2011",FB
237,0.0,FTC refiles antitrust suit against Facebook,FB
238,0.0,"In new Facebook antitrust push, FTC says social network illegally bought or buried potential rivals",FB
239,-0.3818,UPDATE 6-FTC says Facebook 'bought and buried' rivals in renewed antitrust fight,FB
240,0.0,UPDATE 1--Facebook selects local journalists paid in $5 million newsletter recruitment push,FB
241,0.0,It's Time for Facebook to Start Paying a Dividend,FB
242,-0.3818,FTC says Facebook 'bought and buried' rivals in renewed antitrust fight,FB
243,-0.296,U.S. FTC expected to file amended complaint against Facebook,FB
244,0.128,Exclusive: Facebook selects local journalists paid in $5 million newsletter recruitment push,FB
245,0.0,Facebook selects local journalists paid in $5 million newsletter recruitment push,FB
246,0.6369,10 Best Stocks to Buy According to Michael Burry,FB
247,0.0,Facebook reveals its future of meetings: cartoon colleagues talking to each other in virtual reality,FB
248,-0.3182,Ethereum inventor criticises Zuckerberg and Dorseys crypto plans and says blockchain will run the metaverse,FB
249,0.0,"UPDATE 1-Facebook launches VR remote work app, calling it a step to the 'metaverse'",FB
250,0.0,"Facebook launches VR remote work app, calling it a step to the 'metaverse'",FB
251,0.0,"CORRECTED-Facebook launches VR remote work app, calling it a step to the 'metaverse'",FB
252,-0.3182,Facebook says it removed three dozen pages spreading Covid vaccine misinformation,FB
253,0.0,Influencers with Andy Serwer: Ian Bremmer,FB
254,0.0,"Watch Live: Jim Cramer on Nvidia, Robinhood, Facebook, Markets",FB
255,-0.1548,Facebook releases chart ranking its most popular posts to combat claims it spreads misinformation,FB
256,0.0,Facebook Removes Tens of Millions of Covid-Related Posts,FB
257,-0.3948,Biden Says Chaos Couldnt Have Been Avoided: Afghanistan Update,FB
258,0.6369,15 Best Penny Stocks to Buy Now,FB
259,0.0,Facebook Discloses Digital Wallet Plans,FB
260,-0.3182,Facebook removes dozens of vaccine misinformation 'superspreaders',FB
261,0.4449,UPDATE 1-Facebook may not lift ban on Taliban even if U.S. softens its view,FB
